Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                   4,699,543,189 |Average Number of Trades/Week                                                 542 |Notional traded in prior 8 Weeks                               30,319,658,485 |Contracts traded in prior 8 Weeks                                              3,142 |DC RegionAmericas
UNITED MEXICAN STATES|GOVERNMENT|SOV|                                   3,833,965,134 |                                                544 |                              24,586,979,165 |                                             3,577 |Americas
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                                   3,347,778,571 |                                                457 |                              23,716,595,717 |                                             3,504 |Europe
REPUBLIC OF ITALY|GOVERNMENT|SOV|                                   2,630,881,445 |                                                  90 |                              14,956,751,659 |                                                606 |Europe
PEOPLE'S REPUBLIC OF CHINA|GOVERNMENT|SOV|                                   2,355,930,591 |                                                168 |                              12,676,388,920 |                                             1,102 |Asia Ex-Japan
REPUBLIC OF KOREA|GOVERNMENT|SOV|                                   2,325,479,031 |                                                  96 |                               6,631,185,278 |                                                474 |Asia Ex-Japan
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                                   2,313,141,579 |                                                407 |                              15,736,780,071 |                                             2,908 |Europe
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                                   2,264,724,585 |                                                248 |                               8,138,707,000 |                                                987 |Asia Ex-Japan
RUSSIAN FEDERATION|GOVERNMENT|SOV|                                   1,844,811,909 |                                                228 |                               9,523,139,800 |                                             1,285 |Europe
ARGENTINE REPUBLIC|GOVERNMENT|SOV|                                   1,398,516,718 |                                                385 |                               7,480,077,187 |                                             2,298 |Americas
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                   1,234,359,151 |                                                204 |                               7,763,909,448 |                                             1,650 |Americas
MALAYSIA|GOVERNMENT|SOV|                                   1,064,974,414 |                                                114 |                               3,304,203,000 |                                                491 |Asia Ex-Japan
GENERAL ELECTRIC COMPANY|INDUSTRIALS|CORP|                                      773,316,262 |                                                305 |                               4,957,216,002 |                                                953 |Americas
FRENCH REPUBLIC|GOVERNMENT|SOV|                                      743,463,460 |                                                  18 |                               1,370,462,000 |                                                 90 |Europe
DEUTSCHE BANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                      557,481,353 |                                                113 |                               3,566,698,622 |                                                658 |Europe
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                      512,956,483 |                                                101 |                               5,045,297,338 |                                                909 |Europe
REPUBLIC OF THE PHILIPPINES|GOVERNMENT|SOV|                                      490,391,678 |                                                  70 |                               1,355,433,936 |                                                281 |Asia Ex-Japan
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                      484,916,919 |                                                  54 |                               2,877,110,000 |                                                312 |Europe
KINGDOM OF SPAIN|GOVERNMENT|SOV|                                      448,746,737 |                                                  26 |                               3,777,096,319 |                                                278 |Europe
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                      429,058,019 |                                                122 |                               3,459,482,407 |                                                760 |Americas
INTESA SANPAOLO SPA|FINANCIALS|CORP|                                      400,814,417 |                                                  72 |                               1,918,834,601 |                                                348 |Europe
DAIMLER AG|CONSUMER GOODS|CORP|                                      384,257,858 |                                                  42 |                               1,879,188,339 |                                                316 |Europe
UNICREDIT, SOCIETA PER AZIONI|FINANCIALS|CORP|                                      347,488,820 |                                                  61 |                               1,605,146,492 |                                                374 |Europe
REPUBLIC OF CHILE|GOVERNMENT|SOV|                                      314,511,631 |                                                  44 |                               1,144,876,411 |                                                279 |Americas
JAGUAR LAND ROVER AUTOMOTIVE PLC|CONSUMER GOODS|CORP|                                      288,324,273 |                                                  79 |                               2,339,076,208 |                                                708 |Europe
VOLKSWAGEN AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                      286,729,747 |                                                  54 |                               2,078,759,934 |                                                476 |Europe
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|                                      274,677,923 |                                                  61 |                               2,300,628,000 |                                                475 |Americas
ANHEUSER-BUSCH INBEV|CONSUMER GOODS|CORP|                                      272,803,526 |                                                  37 |                               1,777,514,440 |                                                213 |Europe
REPUBLIC OF PERU|GOVERNMENT|SOV|                                      268,322,896 |                                                  41 |                                  923,326,289 |                                                210 |Americas
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                      268,197,784 |                                                  71 |                               1,496,077,822 |                                                270 |Europe
DISH DBS CORPORATION|CONSUMER SERVICES|CORP|                                      256,779,423 |                                                  69 |                               1,679,173,000 |                                                534 |Americas
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                      254,569,443 |                                                  43 |                               2,006,055,723 |                                                360 |Americas
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|FINANCIALS|CORP|                                      245,769,928 |                                                  43 |                                  642,802,846 |                                                139 |Europe
BARCLAYS BANK PLC|FINANCIALS|CORP|                                      243,821,149 |                                                  27 |                               1,702,738,562 |                                                207 |Europe
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                      235,341,690 |                                                  30 |                               1,784,141,919 |                                                229 |Europe
LLOYDS BANKING GROUP PLC|FINANCIALS|CORP|                                      235,034,396 |                                                  41 |                               1,559,820,372 |                                                231 |Europe
BARCLAYS PLC|FINANCIALS|CORP|                                      233,408,410 |                                                  40 |                               1,438,069,616 |                                                246 |Europe
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|                                      229,397,853 |                                                  57 |                               2,027,868,315 |                                                371 |Europe
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|FINANCIALS|CORP|                                      224,985,324 |                                                  37 |                               1,059,291,524 |                                                191 |Europe
CENTURYLINK, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                      220,934,433 |                                                  64 |                               1,962,996,250 |                                                672 |Americas
COMMONWEALTH OF AUSTRALIA|GOVERNMENT|SOV|                                      218,476,923 |                                                  11 |                                  650,200,000 |                                                 70 |Australia NZ
J. C. PENNEY COMPANY, INC.|CONSUMER SERVICES|CORP|                                      218,359,335 |                                                114 |                                  904,894,992 |                                                530 |Americas
PETROLEOS MEXICANOS|ENERGY|STATBODY|                                      216,849,711 |                                                  42 |                               2,139,472,474 |                                                324 |Americas
THE GOLDMAN SACHS GROUP, INC.|FINANCIALS|CORP|                                      214,704,887 |                                                  30 |                               1,627,626,913 |                                                240 |Americas
THE ROYAL BANK OF SCOTLAND GROUP PUBLIC LIMITED COMPANY|FINANCIALS|CORP|                                      214,061,317 |                                                  42 |                               1,283,739,378 |                                                310 |Europe
FRONTIER COMMUNICATIONS CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                      206,909,369 |                                                  72 |                               2,046,945,000 |                                                674 |Americas
NORDSTROM, INC.|CONSUMER SERVICES|CORP|                                      206,436,038 |                                                  45 |                               1,551,774,000 |                                                317 |Americas
MACY'S, INC.|CONSUMER SERVICES|CORP|                                      204,761,538 |                                                  49 |                               1,606,738,000 |                                                432 |Americas
BANK OF CHINA LIMITED|FINANCIALS|CORP|                                      204,433,130 |                                                  14 |                                  680,799,250 |                                                 89 |Asia Ex-Japan
JPMORGAN CHASE & CO.|FINANCIALS|CORP|                                      201,609,458 |                                                  23 |                                  879,926,913 |                                                118 |Americas
BANCO SANTANDER, S.A.|FINANCIALS|CORP|                                      200,761,009 |                                                  33 |                               1,275,390,678 |                                                215 |Europe
STATE OF QATAR|GOVERNMENT|SOV|                                      200,410,090 |                                                  23 |                               1,642,218,879 |                                                197 |Europe
BANK OF AMERICA CORPORATION|FINANCIALS|CORP|                                      198,872,931 |                                                  24 |                               1,369,997,028 |                                                173 |Americas
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|FINANCIALS|CORP|                                      197,866,398 |                                                  19 |                               2,142,058,000 |                                                243 |Australia NZ
SOCIETE GENERALE|FINANCIALS|CORP|                                      196,765,382 |                                                  32 |                               1,491,404,847 |                                                296 |Europe
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|                                      192,803,813 |                                                  72 |                               1,063,757,560 |                                                547 |Europe
VERIZON COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                      189,328,115 |                                                  31 |                                  880,432,000 |                                                197 |Americas
WEATHERFORD INTERNATIONAL LTD.|ENERGY|CORP|                                      186,077,767 |                                                  91 |                               1,033,811,717 |                                                482 |Americas
AXA|FINANCIALS|CORP|                                      184,909,114 |                                                  22 |                                  527,037,076 |                                                103 |Europe
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                      183,825,620 |                                                  39 |                               1,237,937,192 |                                                256 |Europe
CARREFOUR|CONSUMER SERVICES|CORP|                                      183,812,354 |                                                  59 |                               1,048,316,862 |                                                239 |Europe
VIACOM INC.|CONSUMER SERVICES|CORP|                                      182,558,036 |                                                  33 |                               1,562,728,000 |                                                271 |Americas
PETROLEO BRASILEIRO S/A PETROBRAS|ENERGY|CORP|                                      176,549,577 |                                                  38 |                               1,597,925,000 |                                                270 |Americas
L BRANDS, INC.|CONSUMER SERVICES|CORP|                                      175,661,500 |                                                  63 |                                  847,108,000 |                                                345 |Americas
STENA AKTIEBOLAG|INDUSTRIALS|CORP|                                      174,830,498 |                                                  33 |                               1,848,509,388 |                                                259 |Europe
COMMERZBANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                      173,506,724 |                                                  32 |                               1,053,121,552 |                                                212 |Europe
COMMONWEALTH BANK OF AUSTRALIA|FINANCIALS|CORP|                                      172,875,616 |                                                  18 |                               1,059,886,000 |                                                146 |Australia NZ
RALLYE|CONSUMER SERVICES|CORP|                                      172,247,139 |                                                  92 |                                  795,943,950 |                                                236 |Europe
CHESAPEAKE ENERGY CORPORATION|ENERGY|CORP|                                      171,210,473 |                                                  60 |                               1,188,788,000 |                                                476 |Americas
ENEL S.P.A.|UTILITIES|CORP|                                      170,631,933 |                                                  34 |                               1,239,876,229 |                                                200 |Europe
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                      170,350,688 |                                                  29 |                                  942,852,099 |                                                174 |Europe
MORGAN STANLEY|FINANCIALS|CORP|                                      169,739,453 |                                                  21 |                               1,375,661,191 |                                                166 |Americas
NEWELL BRANDS INC.|CONSUMER GOODS|CORP|                                      168,542,885 |                                                  48 |                               1,444,085,000 |                                                756 |Americas
FIAT CHRYSLER AUTOMOBILES N.V.|CONSUMER GOODS|CORP|                                      167,580,236 |                                                  38 |                               1,024,586,520 |                                                269 |Europe
ROLLS-ROYCE PLC|INDUSTRIALS|CORP|                                      165,541,555 |                                                  39 |                                  667,562,353 |                                                150 |Europe
WESTPAC BANKING CORPORATION|FINANCIALS|CORP|                                      162,619,719 |                                                  17 |                               1,140,693,867 |                                                139 |Australia NZ
CREDIT SUISSE GROUP AG|FINANCIALS|CORP|                                      162,198,107 |                                                  24 |                                  757,079,051 |                                                143 |Europe
KOHL'S CORPORATION|CONSUMER SERVICES|CORP|                                      161,193,923 |                                                  34 |                               1,050,867,000 |                                                258 |Americas
BNP PARIBAS|FINANCIALS|CORP|                                      158,501,182 |                                                  27 |                               1,522,001,649 |                                                264 |Europe
KB HOME|CONSUMER GOODS|CORP|                                      157,448,615 |                                                  70 |                               1,217,958,000 |                                                458 |Americas
SOFTBANK GROUP CORP.|TECHNOLOGY|CORP|                                      156,340,153 |                                                  42 |                               1,430,797,227 |                                                290 |Japan
ANADARKO PETROLEUM CORPORATION|ENERGY|CORP|                                      155,360,923 |                                                  28 |                               1,002,169,000 |                                                208 |Americas
DELL INC.|TECHNOLOGY|CORP|                                      153,925,781 |                                                  36 |                               1,777,225,296 |                                                365 |Americas
AMERICAN AXLE & MANUFACTURING, INC.|CONSUMER GOODS|CORP|                                      153,731,077 |                                                  53 |                                  958,928,000 |                                                359 |Americas
NATIONAL AUSTRALIA BANK LIMITED|FINANCIALS|CORP|                                      153,419,052 |                                                  17 |                                  995,660,000 |                                                131 |Australia NZ
FEDERAL REPUBLIC OF GERMANY|GOVERNMENT|SOV|                                      152,785,716 |                                                    7 |                               1,671,928,613 |                                                101 |Europe
XEROX CORPORATION|TECHNOLOGY|CORP|                                      152,146,346 |                                                  45 |                               1,172,076,000 |                                                321 |Americas
ARCELORMITTAL|BASIC MATERIALS|CORP|                                      151,692,142 |                                                  45 |                               1,291,095,636 |                                                473 |Europe
WINDSTREAM SERVICES, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                      151,566,442 |                                                  57 |                               1,724,259,486 |                                                737 |Americas
MARKS AND SPENCER P.L.C.|CONSUMER SERVICES|CORP|                                      149,477,032 |                                                  40 |                                  893,946,610 |                                                306 |Europe
HSBC HOLDINGS PLC|FINANCIALS|CORP|                                      149,050,570 |                                                  25 |                                  711,796,696 |                                                159 |Europe
INTERNATIONAL BUSINESS MACHINES CORPORATION|TECHNOLOGY|CORP|                                      148,179,385 |                                                  23 |                                  996,760,000 |                                                178 |Americas
CONAGRA BRANDS, INC.|CONSUMER GOODS|CORP|                                      148,075,152 |                                                  32 |                               1,390,008,950 |                                                342 |Americas
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                      146,521,171 |                                                  38 |                                  626,391,186 |                                                124 |Europe
FORD MOTOR CREDIT COMPANY LLC|FINANCIALS|CORP|                                      146,197,192 |                                                  39 |                               1,638,707,000 |                                                400 |Americas
THE KROGER CO.|CONSUMER SERVICES|CORP|                                      144,650,962 |                                                  26 |                                  990,479,000 |                                                224 |Americas
UNITED STATES STEEL CORPORATION|BASIC MATERIALS|CORP|                                      143,245,923 |                                                  53 |                               1,258,256,000 |                                                420 |Americas
BERKSHIRE HATHAWAY INC.|FINANCIALS|CORP|                                      142,820,161 |                                                  21 |                                  615,113,423 |                                                155 |Americas
TESCO PLC|CONSUMER SERVICES|CORP|                                      142,414,427 |                                                  28 |                                  892,883,826 |                                                195 |Europe
BARRICK GOLD CORPORATION|BASIC MATERIALS|CORP|                                      140,887,154 |                                                  27 |                                  877,490,000 |                                                234 |Americas
AEGON N.V.|FINANCIALS|CORP|                                      139,233,002 |                                                  25 |                                  835,021,175 |                                                158 |Europe
HSBC BANK PLC|FINANCIALS|CORP|                                      138,688,679 |                                                  18 |                                  614,571,967 |                                                 67 |Europe
WHIRLPOOL CORPORATION|CONSUMER GOODS|CORP|                                      138,581,594 |                                                  30 |                               1,291,510,000 |                                                323 |Americas
CITIGROUP INC.|FINANCIALS|CORP|                                      137,013,630 |                                                  15 |                               1,134,246,191 |                                                122 |Americas
FREEPORT-MCMORAN INC.|BASIC MATERIALS|CORP|                                      136,430,462 |                                                  49 |                               1,029,804,000 |                                                343 |Americas
RENAULT|CONSUMER GOODS|CORP|                                      135,990,353 |                                                  32 |                                  910,794,024 |                                                297 |Europe
NATURGY ENERGY GROUP, S.A.|UTILITIES|CORP|                                      134,302,425 |                                                  21 |                                  924,006,819 |                                                104 |Europe
CVS HEALTH CORPORATION|HEALTHCARE|CORP|                                      134,102,500 |                                                  19 |                                  968,975,000 |                                                164 |Americas
CREDIT AGRICOLE SA|FINANCIALS|CORP|                                      133,841,918 |                                                  23 |                                  827,797,185 |                                                182 |Europe
